Date,Open,High,Low,Close,Adj Close,Volume
03-01-2024,235.399994,236,233.550003,234.5,234.5,9864949
04-01-2024,238.850006,243.25,236.800003,241.399994,241.399994,32808930
05-01-2024,244.5,248.199997,241.5,243.649994,243.649994,29722060
08-01-2024,246.850006,246.899994,240.300003,242.399994,242.399994,21118010
09-01-2024,243.899994,244.649994,241.5,242.149994,242.149994,10689240
10-01-2024,242,242.300003,239.300003,240.949997,240.949997,11798540
11-01-2024,243,253.399994,240.649994,251.550003,251.550003,45792810
12-01-2024,255,259.350006,253.699997,255.050003,255.050003,46763290
15-01-2024,258,269.700012,257.049988,266.75,266.75,68617370
16-01-2024,254.100006,258,246.5,248.850006,248.850006,70456850
17-01-2024,247,247,242.149994,242.550003,242.550003,28318080
19-01-2024,245.850006,249.149994,245.399994,246.25,246.25,16563070
23-01-2024,247.850006,248.050003,240,240.399994,240.399994,13184700
24-01-2024,240,241.550003,237.100006,239.75,239.75,15276800
25-01-2024,240.399994,242.649994,238.899994,239.850006,239.850006,12352490
29-01-2024,242,254.399994,240,251,251,41148260
30-01-2024,253.149994,253.949997,247.100006,247.699997,247.699997,15292450
31-01-2024,247.649994,250.600006,246.100006,248.25,248.25,15183900
01-02-2024,251,254.699997,249.199997,252.399994,252.399994,24323320
02-02-2024,252.5,257.299988,250.600006,253.800003,253.800003,30218950
05-02-2024,256.350006,295.700012,255.699997,289.100006,289.100006,211028600
06-02-2024,285.700012,285.700012,266.049988,270.950012,270.950012,86635610
07-02-2024,273.450012,275.700012,267.399994,268.5,268.5,30963700
08-02-2024,270,270.399994,261.950012,262.799988,262.799988,21948920
09-02-2024,264.399994,276.299988,258.399994,273,273,51120880
12-02-2024,276.100006,281.100006,267.700012,271.450012,271.450012,47043870
13-02-2024,270.450012,275.399994,263.700012,272.75,272.75,31220100
14-02-2024,269.899994,275,268.549988,273,273,21374190
15-02-2024,275,279,273,274.049988,274.049988,19477720
16-02-2024,275.299988,276.75,271,271.899994,271.899994,14337050
